,host_is_superhost,zipcode,bathrooms,bedrooms,beds,bed_type_Real Bed,bed_type_Futon,bed_type_Couch,bed_type_Pull-out Sofa,bed_type_Airbed,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability_1,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable_1,instant_bookable_0,cancellation_policy_strict_14_with_grace_period,cancellation_policy_moderate,cancellation_policy_flexible,cancellation_policy_super_strict_60,cancellation_policy_super_strict_30,cancellation_policy_strict,require_guest_profile_picture_0,require_guest_profile_picture_1,require_guest_phone_verification_0,require_guest_phone_verification_1,calculated_host_listings_count,reviews_per_month,latitude,longitude,host_days,first_review_days,last_review_days,avg_price
841,0.0,98122.0,1.0,2.0,2.0,1,0,0,0,0,290.0,500.0,129.0,4,30.0,2,1125,1,12,12,12,12,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,0,0,0,0,0,1,0,1,346,1.0,47.61339,-122.31811,2273.0,442.0,4.0,139.88920725883477
842,0.0,98122.0,1.0,0.0,1.0,1,0,0,0,0,169.0,500.0,89.0,3,30.0,2,1125,1,22,52,82,92,1,80.0,10.0,10.0,8.0,8.0,10.0,8.0,1,0,1,0,0,0,0,0,0,1,0,1,346,0.26,47.6132,-122.31844,2273.0,114.0,116.0,139.88920725883477
843,0.0,98122.0,1.0,0.0,1.0,1,0,0,0,0,169.0,500.0,89.0,3,30.0,2,1125,1,26,56,86,96,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,0,0,0,0,0,1,0,1,346,0.18,47.612320000000004,-122.31849,2273.0,162.0,164.0,139.88920725883477
844,1.0,98122.0,1.0,1.0,1.0,1,0,0,0,0,90.0,0.0,75.0,1,40.0,1,1000,1,30,60,90,270,9,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0,1,1,0,0,0,0,0,1,0,1,0,8,1.55,47.604890000000005,-122.3135,2016.0,171.0,74.0,139.88920725883477
845,1.0,98122.0,1.0,0.0,1.0,1,0,0,0,0,115.0,0.0,30.0,1,0.0,3,1125,1,0,10,22,22,14,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,1,0,0,0,0,0,1,0,1,0,1,2.33,47.61235,-122.32611000000001,190.0,177.0,51.0,139.88920725883477
846,0.0,98122.0,2.0,2.0,2.0,1,0,0,0,0,225.0,0.0,130.0,1,0.0,3,14,1,7,34,64,330,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,0,0,0,0,1,0,1,0,3,1.0,47.617020000000004,-122.31678000000001,197.0,442.0,4.0,139.88920725883477
847,1.0,98122.0,3.5,3.0,4.0,1,0,0,0,0,250.0,0.0,150.0,6,50.0,2,1125,1,26,41,71,161,22,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0,0,1,0,0,0,1,0,1,0,1,3.71,47.60484,-122.30344,2225.0,175.0,11.0,139.88920725883477
848,1.0,98122.0,1.0,1.0,1.0,1,0,0,0,0,75.0,150.0,50.0,1,0.0,1,1125,1,19,33,63,166,25,95.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,1,0,0,0,0,1,0,1,0,3,4.52,47.61095,-122.31446000000001,295.0,163.0,2.0,139.88920725883477
849,1.0,98122.0,2.0,2.0,2.0,1,0,0,0,0,179.0,500.0,410.0,1,0.0,30,1125,1,0,20,50,325,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,0.26,47.62028,-122.33893,1479.0,112.0,114.0,139.88920725883477
850,1.0,98122.0,2.0,2.0,2.0,1,0,0,0,0,153.0,500.0,410.0,1,0.0,30,1125,1,21,51,81,356,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,1.0,47.619609999999994,-122.33901000000002,1479.0,442.0,4.0,139.88920725883477
